lag,ssr_ftest_pvalue,ssr_ftest_stat
1.0,0.20149900184514807,1.6324607975622343
2.0,0.27937341871191657,1.2759528907088764
3.0,0.5625845671545602,0.6827003184302148
4.0,0.3656643134617253,1.078093683531197
5.0,0.18720295093730885,1.4979040687278218
6.0,0.28230805417387494,1.2404986977151684
7.0,2.2607111842236494e-06,5.567254453043319
8.0,9.970788426097538e-10,7.378191084265538
9.0,3.034340894832948e-14,9.461381178211987
10.0,1.6363198937994194e-16,9.966873480372817
11.0,2.784122682437245e-16,9.193175314059474
12.0,3.3182419407132787e-16,8.610073315540989
13.0,1.031871766260727e-15,7.939429924200438
14.0,8.329112115069619e-15,7.196113355671665
15.0,4.92560589103146e-13,6.221969356991129
16.0,9.261179546922972e-11,5.169110622640172
17.0,4.3573171511178455e-08,4.063355767493982
18.0,6.4142666065639e-07,3.5440847116436522
19.0,4.061842084138729e-06,3.182797502842858
20.0,0.00010296570897047268,2.6361431169086877
21.0,0.0003844005376301019,2.3904648107491453
22.0,0.0017956677366495581,2.1187909298698098
23.0,0.002398858040233521,2.0457206016823077
24.0,0.006977689523896439,1.8569847041097016
25.0,0.00899985185119033,1.7979911276771572
26.0,0.0076330714657081205,1.805379167391047
27.0,0.009376875214366961,1.7580327818310475
28.0,0.008541305993426692,1.7562215267616448
29.0,0.012129528071002014,1.691437213501116
30.0,0.014536523536076883,1.652776316938962
31.0,0.01607132777957198,1.6269409289706707
32.0,0.012061822892740059,1.6555690996229888
33.0,0.0201749274534828,1.5745539841546594
34.0,0.03047354904864825,1.507817415123404
35.0,0.019096909346438488,1.5639246853456499
36.0,0.020369523138287667,1.5469156041666114
37.0,0.019499562319240334,1.544570164966996
38.0,0.013119896678838467,1.5863349560103936
39.0,0.02493125028758679,1.498219233561706
40.0,0.02198327557427072,1.5073632885306285
41.0,0.024293519772887,1.4883731013002974
42.0,0.029193904815492795,1.4594381103607594
43.0,0.03904599328973269,1.4173359534757155
44.0,0.029319054121275702,1.4478016160660743
45.0,0.024867225338026683,1.4621255281946222
46.0,0.01991651478489713,1.4823160628388419
47.0,0.02491882980271826,1.4514137462317402
48.0,0.022750456434583326,1.4567171914636092
49.0,0.027617206273236956,1.4300436767749911
