lag,ssr_ftest_pvalue,ssr_ftest_stat
1.0,0.6791428262598044,0.1711382855526806
2.0,0.29831299336434636,1.2102840703820719
3.0,0.15220751295315268,1.7627440495237658
4.0,0.13358128595212737,1.7630456710796074
5.0,0.07518051690811395,2.0036178185151985
6.0,0.02983714563049861,2.3357200726197678
7.0,0.02440802399745464,2.302829927509978
8.0,0.035029125797122265,2.0750867483000635
9.0,0.04299026461723264,1.9365379904982345
10.0,5.734277764833268e-07,4.864017956452951
11.0,8.744671482848469e-09,5.5324285806125335
12.0,1.5145648656885398e-09,5.604690460212798
13.0,4.682538736438197e-10,5.559915165256621
14.0,8.738052489878592e-13,6.40430372061169
15.0,5.732474651103397e-14,6.567311900471956
16.0,1.3355080672289892e-13,6.172846073558427
17.0,1.3478479678460818e-13,5.941086830203187
18.0,1.3897743932964487e-13,5.730393922638306
19.0,1.2403191114786252e-12,5.256165678868121
20.0,3.958728298694383e-12,4.952225513144613
21.0,2.214162061603785e-11,4.6040329957326005
22.0,1.622258849246333e-10,4.248981321208259
23.0,5.164907943702538e-10,4.014678946674303
24.0,2.8720530589523184e-10,3.992869180207562
25.0,1.8467067022926108e-09,3.7059127091704442
26.0,5.850018862629624e-09,3.510759475828745
27.0,6.592792358554206e-09,3.435110611095858
28.0,7.391781959084782e-08,3.1271516052251513
29.0,9.798307417615657e-08,3.049920434583358
30.0,1.4372594838829658e-07,2.9667947408159234
31.0,2.2330163757606076e-13,4.153303494767433
32.0,3.0485721908023153e-12,3.858900922848595
33.0,8.360156371459883e-12,3.7134033502872423
34.0,1.1914886387344304e-12,3.820193019786252
35.0,6.288666278800136e-13,3.8161857093042735
36.0,7.426645515912257e-13,3.7494184387470235
37.0,1.7943449317588687e-13,3.8074330725264414
38.0,1.8883030053539054e-13,3.7529950583917597
39.0,1.4162598224983952e-13,3.72586297994071
40.0,2.8283657372178984e-13,3.6297258222796813
41.0,5.893726664139573e-13,3.5343175964094065
42.0,1.0414774758185143e-12,3.453990948058414
43.0,2.7416078212791534e-12,3.3491654960872284
44.0,6.8601553631298365e-12,3.251258417080337
45.0,1.5660012015185034e-11,3.162672327080131
46.0,7.433528223930444e-11,3.0277798753509
47.0,2.344093944354229e-10,2.9234048060403266
48.0,5.81677521252243e-10,2.837549717797451
49.0,1.6747514965570045e-09,2.744078775374367
50.0,4.277845855598455e-09,2.6605806501627494
51.0,6.6258728799532035e-09,2.611642882685326
52.0,4.448912037970732e-09,2.6178048778318397
53.0,4.893862138510634e-09,2.5926833359054804
54.0,8.541295715309552e-09,2.539422378700665
55.0,1.7716034641207285e-08,2.4766127583268798
56.0,2.0921575056981608e-08,2.4500732590942516
57.0,3.059911541340556e-08,2.411125552934689
58.0,3.103659754929923e-08,2.3953872992117167
59.0,4.9538019750057845e-08,2.3527809771057644
60.0,2.610357432549307e-08,2.37721556252096
61.0,3.401147237801672e-08,2.347966083443115
62.0,3.118104210581882e-08,2.3398443916313383
63.0,5.129559938252103e-08,2.298298301668634
64.0,6.401977057858506e-08,2.2733922800380215
65.0,1.0873389893606643e-07,2.2314224458198946
66.0,8.385915766393204e-08,2.2349964426459388
67.0,8.450158881306917e-08,2.223581294233567
68.0,1.3791174966680073e-07,2.185651079758657
69.0,1.705168590899364e-07,2.163729981718118
70.0,2.2327298659322767e-07,2.1390774446398786
71.0,2.3418546173863582e-07,2.127036221866003
72.0,4.802899092185529e-07,2.0786462958543424
73.0,2.4607864051424767e-15,2.9949788446407233
74.0,1.8850599444036123e-26,4.059551711324122
75.0,2.1232179340054076e-26,4.027469122714818
76.0,4.9679961525326414e-26,3.96682646006696
77.0,1.0229002056823391e-25,3.9125160805261885
78.0,1.5014711719083308e-25,3.8726685459426
79.0,2.414947739195349e-25,3.8300945756960902
80.0,1.832517261787174e-25,3.817506040808297
81.0,3.7317719249814456e-25,3.7673543435795067
82.0,1.9823159093167399e-25,3.7693349760664563
83.0,4.144776206117087e-25,3.7197003274891083
84.0,8.707054706641887e-25,3.6708089864052798
85.0,1.4017915880687346e-24,3.632705537297908
86.0,1.7184570391340833e-24,3.6053761963298236
87.0,3.073690873614696e-24,3.5647520907391748
88.0,1.5278867775144462e-24,3.571370307180603
89.0,3.767439218641826e-24,3.5202846079756056
90.0,5.410881157401726e-24,3.489390304517916
91.0,7.682122558434403e-24,3.459460181786475
92.0,1.63643973531619e-23,3.4157308777813054
93.0,3.3012162346767267e-23,3.3746079472298387
94.0,7.306049004728825e-23,3.330896582882192
95.0,1.2950184187103064e-22,3.2955601653508326
96.0,1.7987976466532376e-22,3.269196113797815
97.0,9.284141807707227e-23,3.2771710389993816
98.0,2.7239704187173645e-24,3.3818515238640763
99.0,5.7082162429456544e-24,3.341989412869633
100.0,1.5913819144389568e-23,3.293201035111302
101.0,2.9629989864427964e-23,3.2584432704889266
102.0,8.30616866914949e-23,3.210690000729195
103.0,2.9098791146296805e-22,3.1562093424026365
104.0,2.4446952029472646e-22,3.1491013287258847
105.0,2.0431342581856515e-22,3.1423080811740625
106.0,1.6391514940055837e-22,3.136969458566718
107.0,2.080774676092811e-22,3.1170663272470382
108.0,1.7769076921802844e-22,3.1100753792695968
109.0,4.783356716590671e-22,3.0668965310816807
110.0,7.438652364542917e-22,3.041529264559517
111.0,6.664582030775484e-22,3.033797179860567
112.0,1.1808034139389382e-21,3.0049510548246112
113.0,3.781769349306598e-21,2.9580464068349452
114.0,7.74950227414205e-21,2.9254663679185193
115.0,4.086144060138713e-20,2.8639653639503324
