item,coffee_to_ammo_best_lag,coffee_to_ammo_best_p,ammo_to_coffee_best_lag,ammo_to_coffee_best_p,cross_corr_best_lag_hours,cross_corr_best_corr,cross_corr_best_abs_lag_hours,cross_corr_best_abs_corr
5.56x45mm M995,1.0,0.734805921702655,2.0,0.5692341065477109,7.333333333333333,0.46424571870022635,7.333333333333333,0.46424571870022635
6.8x51mm Hybrid,7.0,0.20656729561824072,4.0,0.03534275379689565,-16.833333333333332,0.5664226596614955,-16.833333333333332,0.5664226596614955
7.62x39mm AP,2.0,0.07004364262423468,3.0,0.046079621915860236,24.0,0.43238860502529713,24.0,0.43238860502529713
7.62x51mm M62,6.0,0.43735986011914063,11.0,0.6176877201335688,7.166666666666667,0.7314528030487646,7.166666666666667,0.7314528030487646
7.62x54R BT,5.0,0.0003996349537895688,5.0,0.9686630450988685,24.0,0.4786850712858644,24.0,0.4786850712858644
9x19mm PBP,11.0,0.07624393188284384,7.0,0.6624925593415153,-23.833333333333332,-0.23633147272596655,11.666666666666666,-0.2815836950552521
9x39mm BP,11.0,0.8729439739153684,1.0,0.8986914998167359,6.0,0.5092263728059939,6.0,0.5092263728059939
