lag,ssr_ftest_pvalue,ssr_ftest_stat
1.0,0.23617663715174414,1.406281804974837
2.0,0.5129716116393284,0.6683339816447381
3.0,0.45411774971724084,0.8743715779840963
4.0,0.5911219256846872,0.7015408875977012
5.0,0.6424947884607757,0.6750806594650786
6.0,0.1697626026389948,1.5184428406759327
7.0,2.1430481704941193e-23,19.56044671644545
8.0,4.8639682286846674e-52,41.87460316173983
9.0,1.882589311114089e-52,38.2436645473951
10.0,2.0960285508717143e-59,40.599297186440495
11.0,3.5416974899856997e-59,37.326451951168714
12.0,8.59088534382111e-61,35.893804510804
13.0,3.6833841122700947e-62,34.54866540984239
14.0,1.0497781105035717e-61,32.26381028602347
15.0,1.3287984572744154e-58,28.724916489338224
16.0,1.341948353357146e-53,24.624762235109635
17.0,1.3915551524835927e-45,19.629559449127274
18.0,7.007279906848492e-44,18.057978783368572
19.0,7.363969238079144e-41,16.10009214184594
20.0,7.662251773670298e-38,14.343161606134817
21.0,4.92140432257334e-29,10.706284847329243
22.0,3.620067788873607e-23,8.458530460158672
23.0,7.912408685111742e-23,8.120113552652063
24.0,3.172655793561308e-19,6.838107382462194
25.0,6.682456511810457e-19,6.583668469095289
26.0,2.005522308865018e-18,6.304086740177617
27.0,2.871913799037028e-17,5.860423826418997
28.0,3.2565541458366127e-17,5.730123636897427
29.0,5.713834598791527e-17,5.559999957959443
30.0,3.6334979563768495e-16,5.261193057804056
31.0,7.815880387852915e-16,5.0918032177848715
32.0,1.1910827824308947e-15,4.9667211294325595
33.0,3.4170739965192e-15,4.784633290273662
34.0,3.13738788614423e-14,4.496626563524036
35.0,1.5185421968124628e-13,4.282704426818936
36.0,3.9835969719124003e-13,4.135735209847487
37.0,3.501880192544279e-13,4.0967820663173775
38.0,5.958168230884174e-13,3.9995143761988587
39.0,1.9196559319580454e-12,3.848644342382386
40.0,4.090734118079738e-12,3.7399368292095674
41.0,9.534462293848858e-12,3.6273176465658223
42.0,3.0286829579284203e-11,3.4917388463339365
43.0,7.099320527530891e-11,3.38636448136559
44.0,1.3528899760557188e-10,3.3017812700715474
45.0,3.136678231129487e-10,3.2034289952275463
46.0,7.460790392960297e-10,3.105733834182302
47.0,2.035540605259222e-09,2.9993427020001255
48.0,2.7706941406180262e-08,2.7633142454897763
49.0,1.765328520482635e-08,2.781487021330852
50.0,1.2314951842781302e-08,2.7921834520016757
51.0,2.076010477240139e-08,2.7327148469359597
52.0,1.6766885673375427e-08,2.7328301673764077
53.0,2.9257924323649054e-08,2.6730224053262277
54.0,4.2317931554264615e-08,2.6291213517633083
55.0,6.908993087997442e-08,2.5768798600277276
56.0,1.2810056075684428e-07,2.515902392698718
57.0,5.9239328351987185e-08,2.5620895280253344
58.0,6.900919787761255e-08,2.537979987741801
59.0,9.662489876371912e-08,2.5007290439287715
60.0,8.393324054023622e-08,2.499781553173823
61.0,7.120432964130758e-08,2.5008119611927775
62.0,1.3532887734171174e-08,2.610502852531313
63.0,2.5159314646958734e-08,2.554759864520347
64.0,1.9962150739045053e-08,2.5607282598215106
65.0,3.3039996361020314e-08,2.514724955549866
66.0,4.7106432625333704e-08,2.4799914692714413
67.0,2.3571947613004508e-08,2.5194111238171724
68.0,4.245948525847483e-08,2.4692805711307537
69.0,8.105918322686287e-08,2.415716352152344
70.0,1.837950109797775e-07,2.3507001559086924
71.0,1.7657319965147205e-07,2.346123907979619
72.0,4.654369418550107e-07,2.2716356614283963
