item,coffee_to_ammo_best_lag,coffee_to_ammo_best_p,ammo_to_coffee_best_lag,ammo_to_coffee_best_p,cross_corr_best_lag_hours,cross_corr_best_corr,cross_corr_best_abs_lag_hours,cross_corr_best_abs_corr,cross_corr_best_coffee_leads_lag_hours,cross_corr_best_coffee_leads_corr,cross_corr_best_ammo_leads_lag_hours,cross_corr_best_ammo_leads_corr
12.7x55mm PS12B,12.0,0.006920874779470174,17.0,0.006535953244462071,-66.0,0.41751589930334226,-66.0,0.41751589930334226,6.0,0.4022694088324666,-66.0,0.41751589930334226
4.6x30mm AP SX,14.0,0.02782107504695434,16.0,0.0014411454145789719,30.0,0.4159706860813863,30.0,0.4159706860813863,30.0,0.4159706860813863,-5.0,0.3665362976344355
5.56x45mm M995,11.0,4.3515325540072115e-07,18.0,1.4664899385253228e-09,151.0,0.5569707051549776,151.0,0.5569707051549776,151.0,0.5569707051549776,-17.0,0.46730910644308854
5.7x28mm SS190,12.0,0.0011265411786572043,17.0,2.8148721456238767e-05,6.0,0.2962828624009261,6.0,0.2962828624009261,6.0,0.2962828624009261,-18.0,0.27757258045514693
5.8x42mm DVC12,15.0,1.127297916442718e-06,18.0,1.9824995383311184e-08,7.0,0.3329240480072026,7.0,0.3329240480072026,7.0,0.3329240480072026,-17.0,0.30841995955994883
6.8x51mm Hybrid,12.0,0.003810746076722469,17.0,1.1860704812755145e-06,-137.0,0.5436630415689306,-137.0,0.5436630415689306,7.0,0.3354919797912814,-137.0,0.5436630415689306
7.62x39mm AP,12.0,0.0001729206388387312,16.0,7.058939067093476e-06,150.0,0.5670316045833059,150.0,0.5670316045833059,150.0,0.5670316045833059,0.0,0.45682470194627295
7.62x51mm M62,10.0,2.267978733529652e-06,18.0,2.316055867634817e-05,55.0,0.7054256609154538,55.0,0.7054256609154538,55.0,0.7054256609154538,-17.0,0.6791193993559059
7.62x54R BT,17.0,0.06879571930609635,17.0,0.06766641604072911,6.0,0.6515908615278901,6.0,0.6515908615278901,6.0,0.6515908615278901,-18.0,0.6505098935661255
9x39mm BP,13.0,3.012462295220743e-05,16.0,7.0293842578551e-08,54.0,0.3911632429599354,54.0,0.3911632429599354,54.0,0.3911632429599354,-17.0,0.30674183300527386
