lag,ssr_ftest_pvalue,ssr_ftest_stat
1.0,0.4116795997671038,0.6749569087063378
2.0,0.7911341209038844,0.2343866970287876
3.0,0.6932787930387798,0.484361159534595
4.0,0.7798183431527174,0.4398681034528688
5.0,0.3381234063628415,1.1397264993679042
6.0,5.233971623359087e-05,5.006561976566734
7.0,1.699644172394271e-24,20.51794403490655
8.0,1.4783693714587453e-25,19.25607889540098
9.0,3.938611831424037e-26,17.94737840728268
10.0,3.290498906922299e-27,17.222782778512983
11.0,1.1694831405111673e-26,15.683172397004325
12.0,3.297184409160006e-28,15.53340788870032
13.0,2.008566120695656e-29,15.255555378128244
14.0,2.0056088161313438e-32,15.912342086863175
15.0,2.9294757463429814e-31,14.575379033150138
16.0,6.389146591318557e-31,13.757904642213381
17.0,9.127537066763195e-25,10.659919238601402
18.0,5.007744753996982e-25,10.352425744299909
19.0,2.7673660230719566e-23,9.348542778244745
20.0,3.394096265719093e-17,6.959276542250436
21.0,7.705909141022251e-14,5.67351542273724
22.0,4.5243469427327053e-10,4.35343722251596
23.0,1.0568104810047633e-09,4.145324941617471
24.0,1.5170811632516916e-06,3.112046089107695
25.0,1.0826067885385417e-06,3.1039342333270667
26.0,9.748418548678079e-07,3.0676380880299337
27.0,6.046859635846162e-07,3.0796560893725644
28.0,2.843314444470832e-07,3.1244270499716533
29.0,5.223305398980057e-07,3.0096002234961814
30.0,3.422972964009467e-07,3.017614625258074
31.0,1.0050507665896497e-06,2.85891568977234
32.0,1.154838665064542e-06,2.80969738762315
33.0,2.0562936622169427e-06,2.7155309124658866
34.0,2.752033504473665e-06,2.6555646598370237
35.0,6.848802428825716e-07,2.773434608401544
36.0,2.1870653856719253e-06,2.626972290013129
37.0,2.3681558912320356e-06,2.594354326319014
38.0,3.604002904999868e-06,2.5292037096705138
39.0,7.162105493830515e-06,2.439723333285216
40.0,1.3439185233480763e-05,2.3582394815933365
41.0,3.441371589604909e-05,2.2479330408717946
42.0,2.7794357820844462e-05,2.2532276195054037
43.0,5.722749843735903e-06,2.387959303004278
44.0,8.123279088659088e-06,2.338975318549592
45.0,1.0045875575192901e-05,2.304028426590266
46.0,7.133816356893415e-06,2.320497836003492
47.0,9.375848959953888e-06,2.2817044094911587
48.0,1.7784079740724153e-06,2.4136667898479733
49.0,2.0420888799426646e-06,2.3872548272466805
50.0,3.316731243696948e-06,2.3321625447082077
51.0,2.5542048636211115e-06,2.3412445206165162
52.0,3.7298520576413243e-06,2.2970199510673055
53.0,2.7170468053445567e-06,2.3113380699861508
54.0,6.448158358569593e-07,2.415920809554125
55.0,1.1080011921234302e-06,2.3605108433438855
56.0,1.5352335380603192e-06,2.3231718392855125
57.0,2.098993905391599e-06,2.287650847831555
58.0,4.507763344362609e-06,2.217125582490409
59.0,3.0031422112669043e-06,2.239629931551188
60.0,7.821228144570745e-07,2.33375212354491
61.0,9.57697014952819e-07,2.308674455943913
62.0,1.0124717583252379e-06,2.295203299098501
63.0,8.159818391831951e-07,2.3023774570009197
64.0,1.3471654045295903e-06,2.2564409155255865
65.0,3.0856532104541503e-07,2.356308966520425
66.0,3.5371116937763197e-07,2.337867629098962
67.0,7.942104649880933e-07,2.271278866680532
68.0,2.802169549298957e-07,2.3383676740873347
69.0,6.441979099688016e-07,2.271428397073165
70.0,1.0327951749338326e-06,2.230684385790048
71.0,1.717314592123713e-06,2.1877584046767513
72.0,2.87788557644889e-06,2.144649744845122
