item,n,pearson_r,pearson_p,spearman_r,spearman_p
12.7x55mm PS12B,563.0,-0.1333028802021315,0.0015239218671713871,-0.14846950249577112,0.00040838254350156
4.6x30mm AP SX,563.0,-0.16285151483785965,0.00010384348284320178,-0.16021133481817024,0.0001347166484565248
5.56x45mm M995,563.0,-0.09239295026406955,0.028373506019978248,-0.11047389364027582,0.00870336701736966
5.7x28mm SS190,563.0,-0.1954968175909877,2.9606031840933716e-06,-0.1894989308815236,5.969950243893448e-06
5.8x42mm DVC12,563.0,-0.11798152489288691,0.0050630506815092765,-0.11239179539037285,0.0076003837909107055
6.8x51mm Hybrid,563.0,-0.2287490617198639,4.0525819936538674e-08,-0.20285537195147196,1.215310418839773e-06
7.62x39mm AP,563.0,0.2721859972978265,5.086411439653411e-11,0.2525189961662592,1.223623209819934e-09
7.62x51mm M62,563.0,0.17159992003129154,4.258144798576153e-05,0.13995411452867337,0.000869085108824182
7.62x54R BT,563.0,0.13580380033497827,0.0012374017219929155,0.14084520467135547,0.0008045820181280218
9x39mm BP,563.0,-0.1691976746455243,5.463434772757977e-05,-0.17291975869494405,3.707848258872121e-05
