lag,ssr_ftest_pvalue,ssr_ftest_stat
1.0,0.9841846602400255,0.00039329925025048207
2.0,0.12392351021877036,2.0959665761486597
3.0,0.015125190011328284,3.5122704205727326
4.0,0.0029437478214522314,4.066016092499486
5.0,0.0020215649467404313,3.8318623502027314
6.0,9.188175831958635e-08,7.523928890573583
7.0,8.78214430122029e-24,19.904485844324732
8.0,2.301326278349005e-30,23.02689375706845
9.0,4.9522913453666345e-30,20.702401729318346
10.0,3.4594077395298365e-31,19.80339271349558
11.0,1.1937160673240285e-30,18.054538481576806
12.0,3.1722857705086844e-32,17.772047753387337
13.0,9.035509675929734e-33,17.008156260556927
14.0,1.9077287758381705e-32,15.923132281792235
15.0,1.2152108392068833e-29,13.828675264393674
16.0,9.916221429764042e-28,12.37383016380496
17.0,3.5736752817584677e-26,11.225042564199498
18.0,2.3575075997250838e-27,11.248802204981844
19.0,8.673726118712834e-26,10.261806913306966
20.0,3.6744216192833893e-20,7.964614777695735
21.0,9.271265231943591e-15,5.969689096419768
22.0,1.4991644436063828e-11,4.815414804244312
23.0,4.318698839332656e-11,4.565649652366013
24.0,3.3033580470856204e-10,4.20848282988841
25.0,5.498583346549337e-10,4.061944854008214
26.0,4.58038627392551e-09,3.7297295113590714
27.0,4.4731743181261623e-08,3.3947404880034844
28.0,1.5180840267529825e-08,3.4678466637261214
29.0,2.1360968611461618e-08,3.376713062381363
30.0,5.679699423356779e-08,3.21959058736158
31.0,9.761645679463826e-08,3.117285043464193
32.0,6.077619549584526e-08,3.128760414393237
33.0,5.672018772216953e-08,3.097862483351004
34.0,8.141126416543164e-08,3.0244727885079117
35.0,1.5345464151309107e-07,2.9266043423263506
36.0,3.174918954564174e-07,2.823047942134438
37.0,2.4413554383738015e-07,2.8210631055367505
38.0,5.178472878658258e-07,2.7209161317655055
39.0,9.846331351527377e-07,2.6344003250731878
40.0,1.1995336216033386e-06,2.593128812216989
41.0,7.985076967601696e-07,2.6102357604548088
42.0,1.312709452017655e-06,2.543454509353466
43.0,2.5355933159874773e-06,2.4636757893141983
44.0,1.4513626272992799e-06,2.496839536232149
45.0,2.933942943925916e-06,2.416169890439468
46.0,3.1479195286847856e-06,2.3939480851989035
47.0,1.4322101598692736e-07,2.645828933666054
48.0,2.454543879600879e-07,2.5827301244372753
49.0,1.3577604241155182e-07,2.6154956058329217
50.0,1.8615502022265266e-08,2.760774031535974
51.0,3.486639359768663e-09,2.8763366192728754
52.0,1.5717319847714438e-09,2.92032546381703
53.0,1.6508060531498198e-09,2.8984349002262926
54.0,2.7983178777738985e-09,2.8407126608071884
55.0,4.137780753202878e-09,2.7946919207554255
56.0,1.1553215508559288e-08,2.7016806288915665
57.0,1.6572708754425113e-08,2.660375204007452
58.0,5.537342597360754e-08,2.556477654522522
59.0,8.827928417455612e-08,2.5093830605972203
60.0,1.0906660038635495e-07,2.4821879588514
61.0,1.9354862839908032e-07,2.4287189962479774
62.0,1.5353421816825764e-07,2.435622032290145
63.0,2.0684448910438717e-07,2.4038403430046347
64.0,4.5626418816986566e-07,2.336521901086425
65.0,1.00248460530918e-06,2.2700998116726914
66.0,3.675400399954907e-06,2.1661481601951493
67.0,5.798614213976279e-06,2.1251371149154634
68.0,1.4082481281488688e-05,2.0521731052782988
69.0,2.3031117311580423e-05,2.0091312033101265
70.0,2.198224682310609e-05,2.007033801924988
71.0,1.3056065493480632e-05,2.040326008338999
72.0,1.6688136579181555e-05,2.0167965448458056
