item,coffee_to_ammo_best_lag,coffee_to_ammo_best_p,ammo_to_coffee_best_lag,ammo_to_coffee_best_p,cross_corr_best_lag_hours,cross_corr_best_corr,cross_corr_best_abs_lag_hours,cross_corr_best_abs_corr,cross_corr_best_coffee_leads_lag_hours,cross_corr_best_coffee_leads_corr,cross_corr_best_ammo_leads_lag_hours,cross_corr_best_ammo_leads_corr
12.7x55mm PS12B,12.0,4.0097898195751265e-14,14.0,3.865755020065575e-11,-164.0,0.3210061959773674,134.0,-0.39981723007687003,76.0,0.04467979345446361,-164.0,0.3210061959773674
4.6x30mm AP SX,14.0,2.0056088161313438e-32,17.0,5.940819564100061e-35,-162.0,0.41561329390256263,-154.0,-0.5224797322157522,6.0,0.09744250919936208,-162.0,0.41561329390256263
5.56x45mm M995,14.0,7.622728177953876e-51,17.0,1.8117603324927297e-38,-161.0,0.7534320360969009,-161.0,0.7534320360969009,151.0,0.6222447515878763,-161.0,0.7534320360969009
5.7x28mm SS190,16.0,2.9577682057456557e-18,15.0,1.2152633329054176e-18,-161.0,0.43530238486600975,-161.0,0.43530238486600975,7.0,0.124992003438409,-161.0,0.43530238486600975
5.8x42mm DVC12,12.0,2.5058416452280258e-31,17.0,8.683266621126435e-31,-162.0,0.676169596046496,-162.0,0.676169596046496,6.0,0.11719711726849734,-162.0,0.676169596046496
6.8x51mm Hybrid,13.0,9.035509675929734e-33,18.0,1.686006465221857e-31,-161.0,0.7489011391831084,-161.0,0.7489011391831084,7.0,0.3747780379055597,-161.0,0.7489011391831084
7.62x39mm AP,14.0,1.1363438023852055e-61,17.0,2.11134725753347e-52,151.0,0.6694268306714256,151.0,0.6694268306714256,151.0,0.6694268306714256,-17.0,0.5564063484941676
7.62x51mm M62,13.0,6.664283354861282e-59,17.0,6.489683043623992e-59,127.0,0.6865550820747521,127.0,0.6865550820747521,127.0,0.6865550820747521,-17.0,0.6640965890627656
7.62x54R BT,7.0,2.0217884497190913e-15,17.0,5.736762840598233e-14,30.0,0.4611262986039558,30.0,0.4611262986039558,30.0,0.4611262986039558,-18.0,0.4358170930316657
9x39mm BP,14.0,5.083254124100516e-74,16.0,7.249461674191085e-75,-161.0,0.48588022159002603,86.0,-0.6377326408792839,151.0,0.3091806740015164,-161.0,0.48588022159002603
