item,coffee_to_ammo_best_lag,coffee_to_ammo_best_p,ammo_to_coffee_best_lag,ammo_to_coffee_best_p,cross_corr_best_lag_hours,cross_corr_best_corr,cross_corr_best_abs_lag_hours,cross_corr_best_abs_corr,cross_corr_best_coffee_leads_lag_hours,cross_corr_best_coffee_leads_corr,cross_corr_best_ammo_leads_lag_hours,cross_corr_best_ammo_leads_corr
5.56x45mm M995,2.0,0.00012255438721913228,1.0,0.001543938381841728,228.0,0.5996695378016764,228.0,0.5996695378016764,228.0,0.5996695378016764,-12.0,0.4757994634177013
6.8x51mm Hybrid,12.0,0.0012469325349857407,1.0,0.012526891168976224,-138.0,0.6197603343910297,-138.0,0.6197603343910297,6.0,0.42584873263026457,-138.0,0.6197603343910297
7.62x39mm AP,1.0,0.00013394883336101282,2.0,0.0711950716722654,318.0,0.6173667875121113,318.0,0.6173667875121113,318.0,0.6173667875121113,0.0,0.46437863264864376
7.62x51mm M62,2.0,3.0711531164692504e-06,2.0,1.034927077087983e-05,54.0,0.7408276250616767,54.0,0.7408276250616767,54.0,0.7408276250616767,0.0,0.7079523455312317
7.62x54R BT,4.0,0.04419284788287994,2.0,0.01653940080971282,30.0,0.6193194737650413,30.0,0.6193194737650413,30.0,0.6193194737650413,-6.0,0.6031629330656813
9x19mm PBP,2.0,0.10654051840998517,3.0,0.2428089066029008,-318.0,0.16069500754033486,-36.0,-0.20992722185779247,300.0,0.06549360750568545,-318.0,0.16069500754033486
9x39mm BP,2.0,7.996266144542749e-07,2.0,0.0002207516889059511,54.0,0.4376480182797947,54.0,0.4376480182797947,54.0,0.4376480182797947,-18.0,0.3487870924799587
