item,usage_rate,n_experiments,lag_mean_h,lag_median_h,lag_std_h,corr_mean,corr_median,share_peak_in_96_168h,share_granger_p_lt_0_05,corr_lag_vs_maxlag
6.8x51mm Hybrid,0.086,8,6.75,7.0,0.4629100498862757,0.35950799791267496,0.3788837138952874,0.0,1.0,-0.715581398296974
5.8x42mm DVC12,0.062,8,6.0,6.0,0.0,0.13430395344278948,0.1217618197253345,0.0,1.0,
5.56x45mm M995,0.034,8,78.75,66.5,77.770266077173,0.6118645831896704,0.6081644071653239,0.375,1.0,0.8458147830156623
4.6x30mm AP SX,0.019,8,30.125,6.0,67.83264595416323,0.11354388782095115,0.1049432372469955,0.0,1.0,0.8148751060873387
7.62x51mm M62,0.016,8,87.75,90.5,58.394593683221835,0.6682514770219182,0.6801269103043809,0.375,1.0,0.9365779498034832
9x39mm BP,0.015,8,114.75,114.5,102.2947422193061,0.2881794143109517,0.26656391492340586,0.375,1.0,0.9948060826693786
12.7x55mm PS12B,0.011000000000000001,8,22.75,17.0,24.235452190069466,0.05806653191546918,0.0472092865460492,0.0,1.0,-0.10718578480039984
5.7x28mm SS190,0.01,8,13.5,7.0,18.79209560274897,0.12155395342931635,0.1284433462443904,0.0,1.0,0.8089903156741165
7.62x54R BT,0.006,8,33.0,30.0,15.380878667079738,0.45777880537699284,0.4607034632549513,0.0,1.0,0.7753128937765992
7.62x39mm AP,,8,120.75,126.5,97.99817782562519,0.6380304884286615,0.6481062735190729,0.5,1.0,0.9999945562555443
