item,n,pearson_r,pearson_p,spearman_r,spearman_p
12.7x55mm PS12B,1134.0,0.35506682990661775,4.978379021205255e-35,0.24404627855060573,7.715543887885446e-17
4.6x30mm AP SX,1134.0,0.33172155254810254,1.5668345374075472e-30,0.252811581903955,5.388643220060238e-18
5.56x45mm M995,1134.0,0.44656180384259286,1.1255910087646728e-56,0.2949275593075627,3.408076522122063e-24
5.7x28mm SS190,1134.0,0.1908829759765612,9.138562896405623e-11,0.1503310971011407,3.662116433895842e-07
5.8x42mm DVC12,1134.0,0.26768324118306386,4.636333058106424e-20,0.20814378613363896,1.4502421095901332e-12
6.8x51mm Hybrid,1134.0,0.2847240844446952,1.3636458484325273e-22,0.164870854653216,2.3485276493830035e-08
7.62x39mm AP,1134.0,0.4579105451911391,7.388358489452492e-60,0.3188512820834477,3.2642965696455485e-28
7.62x51mm M62,1134.0,0.6568118693384724,5.982254630019684e-141,0.3895319712934431,2.1432525968846266e-42
7.62x54R BT,1134.0,0.641575968121518,1.561763934812832e-132,0.37346804501323,7.507696494336197e-39
9x39mm BP,1134.0,0.2574303996171706,1.2710942602017112e-18,0.22841777089143006,6.881987742118719e-15
