experiment,freq,ffill_limit,max_lag,rolling_window,rolling_min_periods,max_granger_lag,item,coffee_to_ammo_best_lag,coffee_to_ammo_best_p,ammo_to_coffee_best_lag,ammo_to_coffee_best_p,cross_corr_best_lag_hours,cross_corr_best_corr,cross_corr_best_abs_lag_hours,cross_corr_best_abs_corr,cross_corr_best_coffee_leads_lag_hours,cross_corr_best_coffee_leads_corr,cross_corr_best_ammo_leads_lag_hours,cross_corr_best_ammo_leads_corr
g4_5d_granger3d,1H,1,5D,5D,3D,3D,7.62x54R BT,17.0,0.0741953327698953,15.0,0.0446417921143081,6.0,0.6519792058239628,6.0,0.6519792058239628,6.0,0.6519792058239628,-10.0,0.6509021376096537
g4_5d_granger3d,1H,1,5D,5D,3D,3D,9x19mm PBP,1.0,0.4273470558209743,5.0,0.0422841554870648,-120.0,-0.0354891268014856,-76.0,-0.4354093849793748,120.0,-0.2103819305658266,-120.0,-0.0354891268014856
g4_5d_granger3d,1H,1,5D,5D,3D,3D,9x39mm BP,13.0,1.6914935304609282e-05,17.0,1.983067577936144e-07,54.0,0.391502693070787,54.0,0.391502693070787,54.0,0.391502693070787,-17.0,0.3065916044240164
g5_7d_ffill0_granger3d,1H,0,7D,7D,5D,3D,5.56x45mm M995,11.0,8.439225475127739e-07,17.0,2.394904892564446e-07,151.0,0.5579579039770323,151.0,0.5579579039770323,151.0,0.5579579039770323,-17.0,0.467623947370459
g5_7d_ffill0_granger3d,1H,0,7D,7D,5D,3D,6.8x51mm Hybrid,12.0,0.0030837161153224,15.0,4.7049269498042565e-05,-137.0,0.54744172443137,-137.0,0.54744172443137,7.0,0.3353319371553432,-137.0,0.54744172443137
g5_7d_ffill0_granger3d,1H,0,7D,7D,5D,3D,7.62x39mm AP,12.0,0.0001758731404751,15.0,2.549570315940264e-06,168.0,0.5699689063662228,168.0,0.5699689063662228,168.0,0.5699689063662228,-12.0,0.4617757012388424
g5_7d_ffill0_granger3d,1H,0,7D,7D,5D,3D,7.62x51mm M62,10.0,1.6337775838158717e-06,18.0,0.0003148415604604,55.0,0.7060832148203964,55.0,0.7060832148203964,55.0,0.7060832148203964,-17.0,0.6798436229123337
g5_7d_ffill0_granger3d,1H,0,7D,7D,5D,3D,7.62x54R BT,17.0,0.0795428820169922,72.0,3.185887081117222e-26,6.0,0.6520776149133645,6.0,0.6520776149133645,6.0,0.6520776149133645,-18.0,0.651040623994983
g5_7d_ffill0_granger3d,1H,0,7D,7D,5D,3D,9x19mm PBP,1.0,0.4294326220666126,72.0,3.910671210307638e-56,-168.0,0.1471361754474413,-76.0,-0.4357739071643096,168.0,-0.1392258647728773,-168.0,0.1471361754474413
g5_7d_ffill0_granger3d,1H,0,7D,7D,5D,3D,9x39mm BP,13.0,1.2674918990342206e-05,72.0,1.432607949036514e-07,54.0,0.3914106973624446,54.0,0.3914106973624446,54.0,0.3914106973624446,-17.0,0.3066221928331468
g6_7d_ffill3_granger3d,1H,3,7D,7D,5D,3D,5.56x45mm M995,11.0,4.3515325540072126e-07,18.0,1.4664899385253226e-09,151.0,0.5569707051549776,151.0,0.5569707051549776,151.0,0.5569707051549776,-17.0,0.4673091064430885
g6_7d_ffill3_granger3d,1H,3,7D,7D,5D,3D,6.8x51mm Hybrid,12.0,0.0038107460767224,17.0,1.1860704812755143e-06,-137.0,0.5436630415689306,-137.0,0.5436630415689306,7.0,0.3354919797912814,-137.0,0.5436630415689306
g6_7d_ffill3_granger3d,1H,3,7D,7D,5D,3D,7.62x39mm AP,12.0,0.0001729206388387,16.0,7.058939067093476e-06,150.0,0.5670316045833059,150.0,0.5670316045833059,150.0,0.5670316045833059,0.0,0.4568247019462729
g6_7d_ffill3_granger3d,1H,3,7D,7D,5D,3D,7.62x51mm M62,10.0,2.4011914741805093e-06,18.0,2.316055867634817e-05,55.0,0.7054344926726203,55.0,0.7054344926726203,55.0,0.7054344926726203,-17.0,0.6791193993559059
g6_7d_ffill3_granger3d,1H,3,7D,7D,5D,3D,7.62x54R BT,17.0,0.0702903313680968,17.0,0.0676664160407291,6.0,0.6518017674568561,6.0,0.6518017674568561,6.0,0.6518017674568561,-18.0,0.6505098935661255
g6_7d_ffill3_granger3d,1H,3,7D,7D,5D,3D,9x19mm PBP,6.0,0.4153261012755593,5.0,0.0414872330385058,-168.0,0.1482860499589133,-76.0,-0.4346738945370981,168.0,-0.1388349490808141,-168.0,0.1482860499589133
g6_7d_ffill3_granger3d,1H,3,7D,7D,5D,3D,9x39mm BP,13.0,2.851693903790114e-05,16.0,7.0293842578551e-08,54.0,0.3911004125629153,54.0,0.3911004125629153,54.0,0.3911004125629153,-17.0,0.3067418330052738
g7_freq2h_7d_granger3d,2H,1,7D,7D,5D,3D,5.56x45mm M995,5.0,0.0005422141686412,9.0,0.0010075555019749,152.0,0.5336103713494404,152.0,0.5336103713494404,152.0,0.5336103713494404,-16.0,0.4523759733332202
g7_freq2h_7d_granger3d,2H,1,7D,7D,5D,3D,6.8x51mm Hybrid,5.0,0.0546301036463184,7.0,0.0484883828931209,-138.0,0.4823171955552768,-138.0,0.4823171955552768,6.0,0.3101073287496127,-138.0,0.4823171955552768
g7_freq2h_7d_granger3d,2H,1,7D,7D,5D,3D,7.62x39mm AP,5.0,0.0070018713119159,8.0,0.0029926656688578,150.0,0.5474473311008458,150.0,0.5474473311008458,150.0,0.5474473311008458,0.0,0.4465957081156684
g7_freq2h_7d_granger3d,2H,1,7D,7D,5D,3D,7.62x51mm M62,5.0,0.0003731203060877,7.0,0.0068165007412882,54.0,0.6854447998946337,54.0,0.6854447998946337,54.0,0.6854447998946337,-16.0,0.6547148459814969
g7_freq2h_7d_granger3d,2H,1,7D,7D,5D,3D,7.62x54R BT,6.0,0.1869983389600911,8.0,0.1705051539890999,4.0,0.6226740126312219,4.0,0.6226740126312219,4.0,0.6226740126312219,0.0,0.6220779778669419
g7_freq2h_7d_granger3d,2H,1,7D,7D,5D,3D,9x19mm PBP,1.0,0.8303030127721562,1.0,0.2751298797720514,-168.0,0.097509843907568,-76.0,-0.4821081831064087,168.0,-0.0855371085353387,-168.0,0.097509843907568
g7_freq2h_7d_granger3d,2H,1,7D,7D,5D,3D,9x39mm BP,5.0,0.0009568207566783,8.0,0.002315497675294,54.0,0.3796148666607626,54.0,0.3796148666607626,54.0,0.3796148666607626,-4.0,0.2898176520005524
g8_freq6h_14d_granger3d,6H,1,14D,14D,10D,3D,5.56x45mm M995,2.0,0.0001225543872191,1.0,0.0015439383818417,228.0,0.5996695378016764,228.0,0.5996695378016764,228.0,0.5996695378016764,-12.0,0.4757994634177013
g8_freq6h_14d_granger3d,6H,1,14D,14D,10D,3D,6.8x51mm Hybrid,12.0,0.0012469325349857,1.0,0.0125268911689762,-138.0,0.6197603343910297,-138.0,0.6197603343910297,6.0,0.4258487326302645,-138.0,0.6197603343910297
g8_freq6h_14d_granger3d,6H,1,14D,14D,10D,3D,7.62x39mm AP,1.0,0.000133948833361,2.0,0.0711950716722654,318.0,0.6173667875121113,318.0,0.6173667875121113,318.0,0.6173667875121113,0.0,0.4643786326486437
g8_freq6h_14d_granger3d,6H,1,14D,14D,10D,3D,7.62x51mm M62,2.0,3.0711531164692504e-06,2.0,1.034927077087983e-05,54.0,0.7408276250616767,54.0,0.7408276250616767,54.0,0.7408276250616767,0.0,0.7079523455312317
g8_freq6h_14d_granger3d,6H,1,14D,14D,10D,3D,7.62x54R BT,4.0,0.0441928478828799,2.0,0.0165394008097128,30.0,0.6193194737650413,30.0,0.6193194737650413,30.0,0.6193194737650413,-6.0,0.6031629330656813
g8_freq6h_14d_granger3d,6H,1,14D,14D,10D,3D,9x19mm PBP,2.0,0.1065405184099851,3.0,0.2428089066029008,-318.0,0.1606950075403348,-36.0,-0.2099272218577924,300.0,0.0654936075056854,-318.0,0.1606950075403348
g8_freq6h_14d_granger3d,6H,1,14D,14D,10D,3D,9x39mm BP,2.0,7.996266144542749e-07,2.0,0.0002207516889059,54.0,0.4376480182797947,54.0,0.4376480182797947,54.0,0.4376480182797947,-18.0,0.3487870924799587
