item,coffee_to_ammo_best_lag,coffee_to_ammo_best_p,ammo_to_coffee_best_lag,ammo_to_coffee_best_p,cross_corr_best_lag_hours,cross_corr_best_corr,cross_corr_best_abs_lag_hours,cross_corr_best_abs_corr,cross_corr_best_coffee_leads_lag_hours,cross_corr_best_coffee_leads_corr,cross_corr_best_ammo_leads_lag_hours,cross_corr_best_ammo_leads_corr
12.7x55mm PS12B,12.0,0.005834381965727688,16.0,0.00894582679067115,6.0,0.4027196079940078,6.0,0.4027196079940078,6.0,0.4027196079940078,-18.0,0.4005389579590376
4.6x30mm AP SX,14.0,0.025954087346660097,15.0,0.004711701341116054,6.0,0.40225425724551817,6.0,0.40225425724551817,6.0,0.40225425724551817,-5.0,0.36652208148695814
5.56x45mm M995,11.0,9.10598165298562e-07,17.0,4.148109679281575e-08,7.0,0.49668969499310006,7.0,0.49668969499310006,7.0,0.49668969499310006,-17.0,0.4676271551130886
5.7x28mm SS190,12.0,0.0009441838021629978,16.0,2.4345641552225516e-07,6.0,0.2975086553405076,6.0,0.2975086553405076,6.0,0.2975086553405076,-18.0,0.27871069480966026
5.8x42mm DVC12,15.0,5.537480378883293e-07,15.0,2.286577747389754e-07,7.0,0.33395714518418446,7.0,0.33395714518418446,7.0,0.33395714518418446,-17.0,0.3089681072104239
6.8x51mm Hybrid,11.0,0.0038964766843997125,17.0,4.605821186324391e-05,-17.0,0.3800664200975209,-17.0,0.3800664200975209,7.0,0.3352454317454208,-17.0,0.3800664200975209
7.62x39mm AP,12.0,0.00019330335638469126,16.0,7.027549599758438e-07,24.0,0.47634618620118196,24.0,0.47634618620118196,24.0,0.47634618620118196,-11.0,0.4584376940851936
7.62x51mm M62,10.0,2.3558856276214548e-06,18.0,0.00012655626737991682,7.0,0.7036677397656457,7.0,0.7036677397656457,7.0,0.7036677397656457,-17.0,0.6795274284056946
7.62x54R BT,17.0,0.07419533276989539,15.0,0.044641792114308146,6.0,0.6519792058239628,6.0,0.6519792058239628,6.0,0.6519792058239628,-10.0,0.6509021376096537
9x39mm BP,13.0,1.7865651461526633e-05,17.0,1.9830675779361439e-07,6.0,0.3481027710465904,6.0,0.3481027710465904,6.0,0.3481027710465904,-17.0,0.3065916044240164
