item,n,pearson_r,pearson_p,spearman_r,spearman_p
12.7x55mm PS12B,287.0,-0.11004935635349555,0.06262044061241402,-0.12926486824670871,0.028558862403806326
4.6x30mm AP SX,287.0,-0.16322176519016796,0.00557651066682186,-0.152361533099823,0.009737536578067535
5.56x45mm M995,287.0,-0.06835575166496671,0.2483703459860483,-0.07433533777682262,0.20927467049195445
5.7x28mm SS190,287.0,-0.20905567728552524,0.0003629552102974124,-0.20444081237113435,0.000491743672262527
5.8x42mm DVC12,287.0,-0.09523085875701313,0.10741244762301849,-0.08213756149917022,0.1652065433642664
6.8x51mm Hybrid,287.0,-0.21808813716689668,0.0001965259865957663,-0.1822046485013527,0.001940077357818056
7.62x39mm AP,287.0,0.2923469487421565,4.6158824393948127e-07,0.27737280303871137,1.8199305129980071e-06
7.62x51mm M62,287.0,0.2022815081832626,0.0005655517402562242,0.18015998336373584,0.0021847750592848547
7.62x54R BT,287.0,0.15816388381224727,0.007259676823178067,0.16862765987630884,0.0041726025784421614
9x39mm BP,287.0,-0.16235072863619104,0.0058387044957105075,-0.16278140610916483,0.005707713918902237
