time_utc,5.56x45mm M995,6.8x51mm Hybrid,7.62x39mm AP,7.62x51mm M62,7.62x54R BT,9x19mm PBP,9x39mm BP
2025-10-08 07:00:00+00:00,0.38952586959985025,0.33778707403757485,0.045974334267492985,0.2359666264534123,0.010852713178330644,-0.27803197942997226,0.09299392278488008
2025-10-08 08:00:00+00:00,0.3876959594767731,0.3482187535557616,0.020700074288564886,0.2371300637690753,0.01874237525864809,-0.27342134517293604,0.09570763328492633
2025-10-08 09:00:00+00:00,0.3804719763753752,0.35140313358093,0.012538226906306944,0.2371300637690753,0.01874237525864809,-0.27342134517293604,0.0928468314891412
2025-10-08 10:00:00+00:00,0.37828315211570046,0.35037459922556,0.0096640811384888,0.23605233561706013,0.011720180773694789,-0.2724200235199995,0.08904983822615092
2025-10-08 11:00:00+00:00,0.37553847121983,0.3496857008078186,0.003575921250360266,0.23499878028634577,0.004373348027742671,-0.27168117581529627,0.08678905521916537
2025-10-08 12:00:00+00:00,0.36826396493495,0.3316726336879127,0.012308755458605151,0.232347480576291,0.011451047268940534,-0.2640337253807693,0.09072113350699539
2025-10-08 13:00:00+00:00,0.377369489419012,0.32074581829958076,0.04144777885076926,0.23977760005328086,0.03592644796602698,-0.27101022441797085,0.09991162471721506
2025-10-08 14:00:00+00:00,0.3812769466538457,0.3100185993619009,0.06225309707448524,0.24731287801027244,0.05609004240687078,-0.2781260725456752,0.11114280346613685
2025-10-08 15:00:00+00:00,0.3857067217312097,0.2862445939937069,0.10875251555602083,0.2503695492230182,0.06110106543513004,-0.29563451894373777,0.12794710205577542
2025-10-08 16:00:00+00:00,0.3949949017898432,0.2637885131690017,0.1332816133344274,0.2532367038500558,0.11000899256135044,-0.32232041498338376,0.13959793450853172
2025-10-08 17:00:00+00:00,0.4012168381756789,0.253506516247459,0.1582032360835693,0.269621201657255,0.15226069825166638,-0.34841219868331585,0.1552422469851384
2025-10-08 18:00:00+00:00,0.4131491362025989,0.24070701904688047,0.2258415908694584,0.31512009211961745,0.18931504734662066,-0.36791951620069635,0.161962310866066
2025-10-08 19:00:00+00:00,0.432049732668321,0.23523991496765623,0.24586805765589148,0.3411461771673755,0.2222005253379402,-0.38598689437235845,0.16855938748585986
2025-10-08 20:00:00+00:00,0.4470067039346296,0.2476405088968111,0.259102361695305,0.3682670305768749,0.25166963478767423,-0.4027684521287297,0.1888471972449859
2025-10-08 21:00:00+00:00,0.4612588657649109,0.2615079793319637,0.2771271070371595,0.3903390506555349,0.27828975551315893,-0.41839627571873284,0.20840249593981872
2025-10-08 22:00:00+00:00,0.4714527342217096,0.2594564410358225,0.294025352328943,0.40838718772854316,0.30249943014835373,-0.4329843174834151,0.20962284695198588
2025-10-08 23:00:00+00:00,0.4714527342217096,0.22961948832329712,0.31894758512649035,0.40838718772854316,0.3434968204013956,-0.4426065678556727,0.22106923930128936
2025-10-09 00:00:00+00:00,0.4619671259436633,0.20675396622125275,0.3797762570228357,0.36405958904427277,0.3434968204013956,-0.4547064871943031,0.2332637246539146
2025-10-09 01:00:00+00:00,0.4584696735377011,0.17818232362933759,0.3593074845080546,0.30732515745318323,0.38105462769970727,-0.479867529624632,0.21187078541001572
2025-10-09 02:00:00+00:00,0.4155015366811464,0.12461617030369267,0.28932450756739325,0.20659181674642269,0.3398282940690891,-0.518136063071809,0.13288969222615496
2025-10-09 03:00:00+00:00,0.3954807918687871,0.13876135252757996,0.23028412612429378,0.24303892952546047,0.3398282940690891,-0.4620369834207094,0.12644871318747597
