lag,ssr_ftest_pvalue,ssr_ftest_stat
1.0,0.8417064756378605,0.03992120914859822
2.0,0.36673003484902206,1.0049187592869147
3.0,0.432592826103788,0.9165093920238981
4.0,0.492256162346544,0.8526698444783475
5.0,0.4049090233328101,1.0200671249604045
6.0,0.40303430330561,1.0324985964131856
7.0,0.048488382893120935,2.0391283940676175
8.0,0.06766947810123522,1.8379084085416875
9.0,0.09856053420476385,1.64860791970391
10.0,0.1390592785674323,1.490594336532701
11.0,0.05272725867109233,1.789906919920348
12.0,0.05342296730206693,1.7507408980396686
13.0,0.07120469404311636,1.6376269304663849
14.0,0.10232577925017806,1.510837662761734
15.0,0.13559206814576652,1.4133497533788792
16.0,0.17415972712053562,1.3286441968910863
17.0,0.22424179543843462,1.2452093956070502
18.0,0.27491616305775873,1.1774208897178329
19.0,0.25544607311340634,1.1959310346023448
20.0,0.3114381375012385,1.1325118182470717
21.0,0.3578372689062574,1.0869875582285613
22.0,0.43754538089088424,1.0195673809137693
23.0,0.5417993877988765,0.9416722798168521
24.0,0.5912527009047146,0.9081301276631291
25.0,0.6584987318702673,0.8629643244111348
26.0,0.6991239768782683,0.8369576929123884
27.0,0.659773785170344,0.8677570200552448
28.0,0.658060247065531,0.8715246591079712
29.0,0.7131456740082796,0.836239234069537
30.0,0.7644952712970983,0.80235520638594
31.0,0.7762585071397212,0.7967989534944863
32.0,0.8170325765407329,0.7684286732107669
33.0,0.8443022918266101,0.7490307905148539
34.0,0.8790010289509738,0.7205351641605946
35.0,0.9064633240344973,0.6951203761754499
36.0,0.9224736983516558,0.679573436129787
