lag,ssr_ftest_pvalue,ssr_ftest_stat
1.0,0.42137183823810587,0.6474356900586247
2.0,0.7486595008996373,0.289621223212094
3.0,0.8788454545461493,0.22525131302108597
4.0,0.6582564835218405,0.6062860523029213
5.0,0.7422902563348068,0.544867186149096
6.0,4.2923263508260696e-11,10.548639707659753
7.0,1.4336175603425672e-31,26.761785949225704
8.0,8.065823468414297e-34,25.800595382247597
9.0,2.6552769778898767e-33,23.055104263634103
10.0,3.260054424985767e-34,21.79805626963088
11.0,3.3560545710707934e-34,20.205319447199496
12.0,1.0912466023077051e-35,19.737281200894092
13.0,2.100765270371458e-36,18.94156853428545
14.0,1.321527722734296e-38,19.03363089706444
15.0,2.1528676893487554e-37,17.47090346238339
16.0,1.374523758764782e-35,15.824678325587389
17.0,1.5251473877378186e-28,12.17743493733916
18.0,1.77588802641143e-30,12.461907150920462
19.0,1.2488243494426807e-28,11.3056135170708
20.0,3.0458614591870895e-22,8.672008155456556
21.0,1.0475840739708814e-17,6.9180949704269254
22.0,4.94181497956167e-14,5.583621132377053
23.0,1.036654796748192e-13,5.350459953177623
24.0,1.1478245303876286e-09,4.047618804115472
