lag,ssr_ftest_pvalue,ssr_ftest_stat
1.0,0.29530310064230314,1.0973336522291917
2.0,0.2967605955879913,1.2174782058413598
3.0,0.27408468414256004,1.2985735721578917
4.0,0.0017659489965463897,4.360177494075135
5.0,0.00030143602965593583,4.7381660709962885
6.0,0.0004795099437858676,4.109000288944564
7.0,5.9137456829011014e-05,4.553815168925439
8.0,7.181680227197679e-05,4.180623902764588
9.0,2.542447378188618e-05,4.237686875551879
10.0,1.832468198778942e-06,4.703448474983388
11.0,8.123085813207034e-09,5.755130103511634
12.0,1.6002096369524152e-12,7.333608231330426
13.0,3.2381110145912978e-15,8.241305577463342
14.0,1.6517159058426355e-17,8.87643599467191
15.0,8.096118338056917e-21,9.895271297592506
16.0,4.349199727597237e-21,9.581613843247174
17.0,1.8232846576291404e-20,8.957429834024566
18.0,7.448288682616627e-21,8.771945706567527
19.0,3.563468072011899e-19,7.873204087106087
20.0,2.4057786481765412e-17,7.005083522302688
21.0,2.30318731855385e-10,4.5512523487811105
22.0,0.00024059021769350984,2.481028446495015
23.0,0.0002898248055629288,2.4151171309601698
24.0,0.12111742346326335,1.3573382714704156
