time_utc,6.8x51mm Hybrid,7.62x51mm M62,7.62x54R BT,5.8x42mm DVC12,5.7x28mm SS190,7.62x39mm AP,9x39mm BP,4.6x30mm AP SX,12.7x55mm PS12B,5.56x45mm M995
2025-11-20 19:00:00+00:00,,,,,,,,,,
2025-11-20 20:00:00+00:00,,,,,,,,,,
2025-11-20 21:00:00+00:00,,,,,,,,,,
2025-11-20 22:00:00+00:00,,,,,,,,,,
2025-11-20 23:00:00+00:00,,,,,,,,,,
2025-11-21 00:00:00+00:00,,,,,,,,,,
2025-11-21 01:00:00+00:00,,,,,,,,,,
2025-11-21 02:00:00+00:00,,,,,,,,,,
2025-11-21 03:00:00+00:00,,,,,,,,,,
2025-11-21 04:00:00+00:00,,,,,,,,,,
2025-11-21 05:00:00+00:00,,,,,,,,,,
2025-11-21 06:00:00+00:00,,,,,,,,,,
2025-11-21 07:00:00+00:00,,,,,,,,,,
2025-11-21 08:00:00+00:00,,,,,,,,,,
2025-11-21 09:00:00+00:00,,,,,,,,,,
2025-11-21 10:00:00+00:00,,,,,,,,,,
2025-11-21 11:00:00+00:00,,,,,,,,,,
2025-11-21 12:00:00+00:00,-0.30920122252509236,-0.33975928239001935,-0.12185420658424098,-0.052390598495545185,-0.43069275471850094,-0.06521581885706863,-0.03420989536574697,0.13356209139454026,-0.2422301843275575,-0.3591949379083563
2025-11-21 13:00:00+00:00,-0.220848802461238,-0.2721480283083885,-0.028347335476068537,-0.017663149880988542,-0.39482743612747134,-0.04601321676680405,0.01972026594373825,0.16598969994746005,-0.06425396041159764,-0.27819213314565044
2025-11-21 14:00:00+00:00,-0.15448737310436375,-0.22123797151219876,0.041288487195660355,0.034408156333312845,-0.36883156252560884,-0.031326756393508425,0.0610196565147323,0.19154154459740075,0.1384374128116589,-0.21727026206891273
2025-11-21 15:00:00+00:00,-0.10240706511877337,-0.18114396416780607,0.09546444301077031,0.07557756957054786,-0.34900096538051045,-0.01960156400552237,0.09395338384254415,0.21237898422734594,0.2609434459807555,-0.16936876246679755
2025-11-21 16:00:00+00:00,-0.13516906706724918,-0.19753521310436137,0.0395972758005836,0.03317622881439376,-0.34552481811069097,-0.027796167570148973,0.056779832140594406,0.1739532260629433,0.18213996605536012,-0.19262010647978833
2025-11-21 17:00:00+00:00,-0.16238171356960937,-0.21146878197598226,-0.0059967386608076375,-0.02097905154737883,-0.3224280413030656,-0.03471409846389191,0.025993403817080783,0.14219009316159378,0.11875875790283397,-0.21215935621893942
2025-11-21 18:00:00+00:00,-0.18540496217742897,-0.22349507813410313,-0.04397994971359311,-0.06560798513526589,-0.32225228003987455,-0.09220108971087844,-0.013614817444769639,0.11540881096690156,0.01257389226923853,-0.22885810682146385
2025-11-21 19:00:00+00:00,-0.15569978883230368,-0.1666282965125963,0.050427290566203806,-0.06560798513526589,-0.28574444167093954,-0.09220108971087844,0.0,0.14235660049759438,-0.035867107489410494,-0.18906657220395529
2025-11-21 20:00:00+00:00,-0.15569978883230368,-0.10275852103187802,0.050427290566203806,-0.08188057999711891,-0.3390787559408346,-0.09220108971087844,0.013893831270808612,0.17019380045832222,-0.08297543867187683,-0.14652356753891327
2025-11-21 21:00:00+00:00,-0.18202343288844797,-0.02824686890915042,0.050427290566203806,-0.08188057999711891,-0.22644483372930335,-0.0427829917224115,0.013893831270808612,0.19902359058759564,-0.18237166310401784,-0.10042941689778617
2025-11-21 22:00:00+00:00,-0.2264167064259654,-2.8296454816945687e-13,-0.05096471914403935,-0.09772116429569552,-0.21435074354591757,-0.10201870653309711,-0.013573366680210681,0.19902359058759564,-0.13450689671224147,-0.049636652432177256
2025-11-21 23:00:00+00:00,-0.2264167064259654,-0.029021341253715086,0.04363319042904551,-0.15348958102668578,-0.1833039663170654,-0.04065578140908685,-0.04131035357315446,0.19902359058759564,-0.13450689671224147,-0.020956487115537825
2025-11-22 00:00:00+00:00,-0.2264167064259654,-0.04593555933100071,0.04363319042904551,-0.1786737288454379,-0.17740935001478797,-0.04065578140908685,-0.04131035357315446,0.19949855881522585,-0.13450689671224147,-0.006562352284694499
2025-11-22 01:00:00+00:00,-0.2264167064259654,-0.06523931421020228,0.021989974856437867,-0.19720950710829704,-0.18395784698915288,-0.025482359572102823,-0.04131035357315446,0.19949855881522585,-0.11853634095982403,-3.8231712111369463e-13
2025-11-22 02:00:00+00:00,-0.2264167064259654,-0.08795989942724364,0.0,-0.22780677662215032,-0.19428971226991662,-0.01207979694557218,-0.04131035357315446,0.19949855881522585,-0.13450689671224147,0.006155857152495708
2025-11-22 03:00:00+00:00,-0.2264167064259654,-0.11587309190071553,-0.022727272727025447,-0.2758556098316415,-0.18737214713673508,0.0,-0.04131035357315446,0.19949855881522585,-0.15194743527951593,0.01196511273216413
2025-11-22 04:00:00+00:00,-0.2264167064259654,-0.08709554927957956,0.023331648330434048,-0.26119418561158403,-0.17540610666412076,-0.02212275685772729,-0.047336212664936664,0.19949855881522585,-0.11618632345987316,0.0
2025-11-22 05:00:00+00:00,-0.2264167064259654,-0.05137926051593889,0.0724206824377897,-0.24716010295215374,-0.13159289670207797,-0.02212275685772729,-0.03474149489006075,0.17565086104913594,-0.11618632345987316,-0.01136363636405454
2025-11-22 06:00:00+00:00,-0.2264167064259654,-0.027994625547853355,0.1260682264150982,-0.1862246119832739,-0.10785812789931942,0.021773887319468714,-0.02769957568705214,0.1703490281290169,-0.11618632345987316,-0.022201332647051084
2025-11-22 07:00:00+00:00,-0.23890577899915133,-0.027994625547853355,0.1260682264150982,-0.16854996561627064,-0.07557086549038969,0.04264014327093638,-0.02769957568705214,0.16006670836220965,-0.11618632345987316,-0.04286172176170158
2025-11-22 08:00:00+00:00,-0.23890577899915133,-0.027994625547853355,0.1260682264150982,-0.1517994747745202,-0.06774447311037601,0.06101835148641531,-0.020578861822996904,0.14953449132536617,-0.087038827977848,-0.054118132438888245
2025-11-22 09:00:00+00:00,-0.2550127509564656,-0.027994625547853355,0.1260682264150982,-0.13586044779775386,-0.05342274682066134,0.07801259029738114,-0.013594044666067555,0.13871757117541308,-0.027639499641138814,-0.06563259161110607
2025-11-22 10:00:00+00:00,-0.2714450499563934,-0.027994625547853355,0.18655062681086818,-0.10947937360464743,-0.039419434199983866,0.09390188809938714,-0.006757219511383057,0.12673778103714609,-0.027639499641138814,-0.07742964900188991
2025-11-22 11:00:00+00:00,-0.2882429610645701,-0.027994625547853355,0.25756371316446247,-0.08349129833841884,-0.01075683466624254,0.12573892269207296,0.0,0.11371494586813938,-0.027639499641138814,-0.08953650174024841
2025-11-22 12:00:00+00:00,-0.34152218639012893,-0.05840349642952872,0.25747523370009817,-0.04015961701805001,0.03284334640790038,0.16579714791998154,-0.006970259705508036,0.07629339744438736,-0.0036039136687630886,-0.14184122189812243
2025-11-22 13:00:00+00:00,-0.4040610178209974,-0.09189536012855329,0.2583412657655597,0.010541120741772688,0.05507338918473418,0.21315199263526383,-0.013636605941991014,0.03275942993920773,-0.022682405315355314,-0.2025607016468954
2025-11-22 14:00:00+00:00,-0.4785092475379541,-0.12942425570125216,0.2604796216876244,0.030488699574081055,0.08184342665721772,0.26980246763684607,-0.020062578196142707,-0.018566761423632464,-0.13638588116826736,-0.27410757450821194
2025-11-22 15:00:00+00:00,-0.5688084741034195,-0.17241379310314647,0.2643813225070674,0.05492942180035223,0.10401019349838092,0.3387117595240864,-0.02634089715739786,-0.08015325559052967,-0.2842867663420851,-0.36005237506392396
2025-11-22 16:00:00+00:00,-0.540371559178755,-0.17241379310314647,0.2643813225070674,0.02737321244231061,0.10401019349838092,0.2648550184257103,-0.04033045025733301,-0.048748834922765175,-0.2842867663420851,-0.33978194152577307
2025-11-22 17:00:00+00:00,-0.540371559178755,-0.17241379310314647,0.2643813225070674,0.0,0.04310344827589056,0.19432589109253767,-0.054194255191323294,-0.016488398478434453,-0.2842867663420851,-0.3190824676829542
2025-11-22 18:00:00+00:00,-0.5653142576437711,-0.17241379310314647,0.12555296411452654,-0.02667271558743735,0.02794393951172851,0.1588368898372269,-0.054194255191323294,0.0,-0.2333492629907824,-0.29790093591247646
