item,n,pearson_r,pearson_p,spearman_r,spearman_p
12.7x55mm PS12B,572.0,-0.13723790775333172,0.0009995409637719324,-0.1536726325645092,0.00022495095583794064
4.6x30mm AP SX,572.0,-0.18546455604976914,8.016015396667071e-06,-0.17870059255738907,1.7141555031127697e-05
5.56x45mm M995,572.0,-0.10370541341482839,0.013081556068974326,-0.12351610152299143,0.0030868787091153536
5.7x28mm SS190,572.0,-0.20679576771396893,6.067893040754856e-07,-0.20578163738955543,6.904214067445671e-07
5.8x42mm DVC12,572.0,-0.1268098581230454,0.002377660715904875,-0.1223728300329437,0.003374875068543583
6.8x51mm Hybrid,572.0,-0.24102730038298992,5.276402212133287e-09,-0.22104916760719248,9.224388677531018e-08
7.62x39mm AP,572.0,0.277112944213263,1.523674399616654e-11,0.2582582589970914,3.615174510695826e-10
7.62x51mm M62,572.0,0.17484952189541372,2.6098920832959945e-05,0.1460364244896973,0.000458592907125504
7.62x54R BT,572.0,0.13341381756967496,0.0013832562754088184,0.1364266416808152,0.00107160670653793
9x39mm BP,572.0,-0.18530851403219128,8.160366654529251e-06,-0.1903952423165236,4.525915733294864e-06
