item,coffee_to_ammo_best_lag,coffee_to_ammo_best_p,ammo_to_coffee_best_lag,ammo_to_coffee_best_p,cross_corr_best_lag_hours,cross_corr_best_corr,cross_corr_best_abs_lag_hours,cross_corr_best_abs_corr,cross_corr_best_coffee_leads_lag_hours,cross_corr_best_coffee_leads_corr,cross_corr_best_ammo_leads_lag_hours,cross_corr_best_ammo_leads_corr
12.7x55mm PS12B,12.0,2.6699212552073143e-14,14.0,2.2122336543323402e-11,-164.0,0.3181434289725918,135.0,-0.40302858610140224,4.0,0.05497006344207154,-164.0,0.3181434289725918
4.6x30mm AP SX,14.0,3.124066173206318e-41,18.0,2.677742370277165e-43,-161.0,0.403915005242538,-154.0,-0.4900594441514961,7.0,0.09143359919428476,-161.0,0.403915005242538
5.56x45mm M995,14.0,4.1789104425018976e-52,17.0,5.212788197453778e-48,-161.0,0.7410479771768568,-161.0,0.7410479771768568,151.0,0.6204149907754424,-161.0,0.7410479771768568
5.7x28mm SS190,19.0,8.352530413936467e-24,18.0,5.403216148250212e-25,-161.0,0.4421738905715279,-161.0,0.4421738905715279,7.0,0.12878334732390684,-161.0,0.4421738905715279
5.8x42mm DVC12,14.0,2.4217698587375616e-36,17.0,3.5994296438276536e-40,-162.0,0.6708127677947361,-162.0,0.6708127677947361,6.0,0.12187197157719334,-162.0,0.6708127677947361
6.8x51mm Hybrid,12.0,7.43904002986316e-41,18.0,3.266613950102803e-37,-161.0,0.7455486619779778,-161.0,0.7455486619779778,7.0,0.3784496113618105,-161.0,0.7455486619779778
7.62x39mm AP,14.0,1.7149417348481203e-65,17.0,6.09371268230063e-63,151.0,0.6685373212082045,151.0,0.6685373212082045,151.0,0.6685373212082045,-17.0,0.5536339377234251
7.62x51mm M62,13.0,2.5750848876694255e-70,17.0,1.6051217146789312e-75,127.0,0.6879242236985692,127.0,0.6879242236985692,127.0,0.6879242236985692,-17.0,0.6608378902785316
7.62x54R BT,8.0,5.656379218234683e-16,16.0,2.1719264045368875e-16,30.0,0.4579007412163415,30.0,0.4579007412163415,30.0,0.4579007412163415,-18.0,0.4395979083397787
9x39mm BP,14.0,1.139461279939154e-83,16.0,3.81759951031983e-86,-161.0,0.48516104262054144,110.0,-0.627070764097236,151.0,0.30333023884047533,-161.0,0.48516104262054144
