item,n,pearson_r,pearson_p,spearman_r,spearman_p
12.7x55mm PS12B,571.0,0.30717299131468845,6.085669210139317e-14,0.24092263840599334,5.527023723416912e-09
4.6x30mm AP SX,571.0,0.3230475542324238,2.4583336309059685e-15,0.24604429526041677,2.548296415526469e-09
5.56x45mm M995,571.0,0.4360265501235996,6.719073519097211e-28,0.30100824435396956,2.0103067040026375e-13
5.7x28mm SS190,571.0,0.15206873389148734,0.00026527533301235476,0.12444640810999436,0.002893860082617304
5.8x42mm DVC12,571.0,0.2578431610088841,4.004112431864805e-10,0.1985805102455454,1.7311719966143063e-06
6.8x51mm Hybrid,571.0,0.2568876482612086,4.667906952215346e-10,0.1376905621018014,0.0009712883065746851
7.62x39mm AP,571.0,0.4465957081156677,2.4302203725738015e-29,0.329904301754754,5.789150449154131e-16
7.62x51mm M62,571.0,0.6393789288102509,5.951879412973936e-67,0.38685419617888417,7.981420335154829e-22
7.62x54R BT,571.0,0.621172314103724,3.1106186877079587e-62,0.3793568010898063,5.524338083616383e-21
9x39mm BP,571.0,0.2436031488914367,3.6936924869370797e-09,0.21769327961191617,1.491150270833426e-07
