time_utc,6.8x51mm Hybrid,7.62x51mm M62,7.62x54R BT,5.8x42mm DVC12,5.7x28mm SS190,7.62x39mm AP,9x39mm BP,4.6x30mm AP SX,12.7x55mm PS12B,5.56x45mm M995
2025-10-16 16:00:00+00:00,0.2577209025739551,0.31715817996038875,0.3256087933303967,0.018019053780623833,0.18579706454950007,0.10724338582726202,0.10618938908820016,0.05209142238646844,0.25425117209293335,0.24915221867604717
2025-10-16 18:00:00+00:00,0.22554552255690322,0.29341366249400064,0.30953480645399134,0.01135663838791689,0.17645708626920603,0.08931532702630705,0.0874628534174779,0.03466151804300826,0.24868765497782752,0.23372302022208305
2025-10-16 20:00:00+00:00,0.20867719144487873,0.291379281203299,0.29480750604477235,0.02030531888682189,0.17272562407106207,0.06857602825564695,0.09267047933972827,0.037860930208053985,0.24555512833839246,0.21688832447580428
2025-10-16 22:00:00+00:00,0.18879071220166044,0.27673182963948817,0.29742783569067294,0.025444432242404905,0.18071314491183052,0.04818734465781356,0.11104554207960167,0.053410563295872446,0.24027146260515686,0.21176033008296108
2025-10-17 00:00:00+00:00,0.2064617315330873,0.325794453027,0.3256539889849276,0.04062777887467964,0.19465535955170163,0.05076454850404335,0.15079670948567248,0.0876824606369987,0.2670425828167487,0.2737967619051455
2025-10-17 02:00:00+00:00,0.2000331615895077,0.30131986603144095,0.31527083432637987,0.04724968126492465,0.19130571421118994,0.02105100720666715,0.13503902034257512,0.06944737563199552,0.2370814708668893,0.23544635476439965
2025-10-17 04:00:00+00:00,0.1912529084692686,0.27971767517069,0.30117464023397506,0.05411103953427148,0.19468828743398137,0.0051528570794236745,0.12301280860539297,0.07743990428470283,0.23778138741042237,0.21202572329634808
2025-10-17 06:00:00+00:00,0.1974150546933269,0.28249883521011737,0.3082482938732525,0.07580033595998734,0.2146264012661809,0.00182478209490364,0.14031213997450281,0.09905691428407978,0.22404854425778584,0.2241904969288193
2025-10-17 08:00:00+00:00,0.20216229513367018,0.2839179606797504,0.31363138443285776,0.0837335610890132,0.2254126194692314,-0.006992025610446474,0.148010411611978,0.1074522840311248,0.22602309537440732,0.22406025353316206
2025-10-17 10:00:00+00:00,0.19514933152726086,0.27658169129674665,0.3050616924286136,0.07895556976605309,0.21778615400936063,-0.019363413191041352,0.14374747382178066,0.0961685835558551,0.21565228981011436,0.20247948058755716
2025-10-17 12:00:00+00:00,0.16866267334600182,0.26631175266425505,0.3108441460212458,0.057209533906543625,0.20541383766387414,0.010651067344674057,0.13460348672551736,0.09218225222786092,0.216139225871791,0.18609422341259652
2025-10-17 14:00:00+00:00,0.15591623189628578,0.24517644720681958,0.28763267092400374,0.04094137419395565,0.1893702759644903,0.023304202033696868,0.1258044985786418,0.08878724613941927,0.19544257910787635,0.1830566152219608
2025-10-17 16:00:00+00:00,0.15871568568332195,0.23211929333482298,0.31259552954792796,0.035960484682003226,0.1758399980214064,-0.006074037334607613,0.10568568040997652,0.06801050720626088,0.17551240536261767,0.1598076256273911
2025-10-17 18:00:00+00:00,0.12701211663854017,0.18807639280444663,0.31346629187874747,0.014392017180103417,0.15663196142427616,-0.02130215227929264,0.08427852412999381,0.053598560930599,0.16906959668236032,0.13405608099587984
2025-10-17 20:00:00+00:00,0.08730720341752855,0.14309002307777388,0.3351652175256631,-0.009458649279165975,0.12032863915797741,-0.012795150752160884,0.0621453702530712,0.03297354862799693,0.1627649794004485,0.10931034879949358
2025-10-17 22:00:00+00:00,0.09233611800055722,0.14468178963161624,0.3569408013674313,0.00037945150075835806,0.1304122887075164,0.03322240436094162,0.08943979176540334,0.06169547937206457,0.18364994365945117,0.13395310221238615
2025-10-18 00:00:00+00:00,0.11081688202616863,0.17795523679606975,0.384881965066905,-0.000540905105979847,0.11866340105510859,0.06611149673490946,0.11911476885416389,0.09910174598110195,0.18501432218862632,0.16991857314053754
2025-10-18 02:00:00+00:00,0.10929120949657185,0.15387002797822094,0.3761797385413291,0.01120676237254617,0.10716017133166379,0.010957330195312967,0.10266534999749385,0.07365306249554157,0.17626296367730784,0.15215519627242946
2025-10-18 04:00:00+00:00,0.09656208384268275,0.1354417051663864,0.36000723015666963,0.02158849286233391,0.1194096408538778,-0.00996188825902006,0.09563192135764967,0.07000875979663863,0.17154715692069325,0.1278876083818301
2025-10-18 06:00:00+00:00,0.09859526389690174,0.14640574873466677,0.3666983853385156,0.05032171071895786,0.13984574186511955,-0.029407240583220664,0.11915904902574097,0.08968189692502977,0.19474566942430602,0.13532593791898595
2025-10-18 08:00:00+00:00,0.09444664223814782,0.15704104436478575,0.3755403087910188,0.05853897529016746,0.14720519815564406,-0.035577616145432804,0.13283312958214585,0.10381061929620576,0.1798439794391879,0.13458045690122905
2025-10-18 10:00:00+00:00,0.09062011235352357,0.15559124787230677,0.3577827540994686,0.06061787190585782,0.1450710099434255,-0.04285244517412043,0.13672574276585459,0.10181021647013283,0.17279455913095831,0.12056652426672036
2025-10-18 12:00:00+00:00,0.07946225818110211,0.1559243780429301,0.3612708997829903,0.05116934130013591,0.14323679365210112,-0.02551967535821704,0.13551374290589818,0.10343180814173938,0.16264999271229644,0.1146000033919764
2025-10-18 14:00:00+00:00,0.07019620248823186,0.1550700465609997,0.34007999863987554,0.037243062150237205,0.12413192911462724,-0.015807154808439923,0.13332563761191935,0.10077622096621676,0.14584663099788034,0.10228690716782828
2025-10-18 16:00:00+00:00,0.06924465309775964,0.13411262182377512,0.31520451947049855,0.008414901933389113,0.1017181550788431,-0.037502608461504106,0.10259839325872944,0.07270829140881628,0.12065628856523827,0.08103932148225251
