item,coffee_to_ammo_best_lag,coffee_to_ammo_best_p,ammo_to_coffee_best_lag,ammo_to_coffee_best_p,cross_corr_best_lag_hours,cross_corr_best_corr,cross_corr_best_abs_lag_hours,cross_corr_best_abs_corr,cross_corr_best_coffee_leads_lag_hours,cross_corr_best_coffee_leads_corr,cross_corr_best_ammo_leads_lag_hours,cross_corr_best_ammo_leads_corr
12.7x55mm PS12B,6.0,0.08033668354143436,8.0,0.09227409448113792,-138.0,0.408469727607283,-138.0,0.408469727607283,6.0,0.3589897112374813,-138.0,0.408469727607283
4.6x30mm AP SX,5.0,0.19632529675138527,4.0,0.035257928547224975,54.0,0.40601745530861705,54.0,0.40601745530861705,54.0,0.40601745530861705,-4.0,0.3647323281665734
5.56x45mm M995,5.0,0.0005422141686412165,9.0,0.0010075555019749519,152.0,0.5336103713494404,152.0,0.5336103713494404,152.0,0.5336103713494404,-16.0,0.4523759733332202
5.7x28mm SS190,6.0,0.026578506154587785,8.0,0.0004932128818383613,6.0,0.2728235889073958,6.0,0.2728235889073958,6.0,0.2728235889073958,-18.0,0.24899284111774928
5.8x42mm DVC12,5.0,0.0015024473023782417,8.0,0.0015826530694665073,6.0,0.32215115022564395,6.0,0.32215115022564395,6.0,0.32215115022564395,-18.0,0.29165510270973544
6.8x51mm Hybrid,5.0,0.05463010364631842,7.0,0.048488382893120935,-138.0,0.4823171955552768,-138.0,0.4823171955552768,6.0,0.3101073287496127,-138.0,0.4823171955552768
7.62x39mm AP,5.0,0.007001871311915904,8.0,0.0029926656688578656,150.0,0.5474473311008458,150.0,0.5474473311008458,150.0,0.5474473311008458,0.0,0.4465957081156684
7.62x51mm M62,5.0,0.00037653714212881683,7.0,0.006816500741288246,54.0,0.6854305704034347,54.0,0.6854305704034347,54.0,0.6854305704034347,-16.0,0.6547148459814969
7.62x54R BT,6.0,0.18840594210674008,8.0,0.1705051539890999,4.0,0.6223002455077019,4.0,0.6223002455077019,4.0,0.6223002455077019,-18.0,0.6216059330125666
9x39mm BP,5.0,0.0009783186159170209,8.0,0.002315497675294075,54.0,0.3797394107058394,54.0,0.3797394107058394,54.0,0.3797394107058394,-4.0,0.28981765200055243
