item,coffee_to_ammo_best_lag,coffee_to_ammo_best_p,ammo_to_coffee_best_lag,ammo_to_coffee_best_p,cross_corr_best_lag_hours,cross_corr_best_corr,cross_corr_best_abs_lag_hours,cross_corr_best_abs_corr,cross_corr_best_coffee_leads_lag_hours,cross_corr_best_coffee_leads_corr,cross_corr_best_ammo_leads_lag_hours,cross_corr_best_ammo_leads_corr
12.7x55mm PS12B,1.0,0.00034300950544405696,3.0,0.01236847272331054,-90.0,0.5102466893731782,-90.0,0.5102466893731782,6.0,0.4694955228362434,-90.0,0.5102466893731782
4.6x30mm AP SX,2.0,0.013589617072001452,2.0,1.4864655579942174e-06,30.0,0.5075230785055507,30.0,0.5075230785055507,30.0,0.5075230785055507,-6.0,0.4731676552714935
5.56x45mm M995,2.0,0.00012255438721913228,1.0,0.001543938381841728,228.0,0.5996695378016764,228.0,0.5996695378016764,228.0,0.5996695378016764,-12.0,0.4757994634177013
5.7x28mm SS190,1.0,2.3288654852307356e-07,2.0,1.2159854732953183e-06,-282.0,0.40423503697865476,-282.0,0.40423503697865476,6.0,0.25458219566893403,-282.0,0.40423503697865476
5.8x42mm DVC12,1.0,4.236194684117054e-07,3.0,1.9482205760872575e-06,6.0,0.3797388272813761,306.0,-0.5098261844553131,6.0,0.3797388272813761,-18.0,0.349089381151597
6.8x51mm Hybrid,12.0,0.0012469325349857407,1.0,0.012526891168976224,-138.0,0.6197603343910297,-138.0,0.6197603343910297,6.0,0.42584873263026457,-138.0,0.6197603343910297
7.62x39mm AP,1.0,0.00013394883336101282,2.0,0.0711950716722654,318.0,0.6173667875121113,318.0,0.6173667875121113,318.0,0.6173667875121113,0.0,0.46437863264864376
7.62x51mm M62,2.0,2.0978773578341942e-06,2.0,1.034927077087983e-05,60.0,0.7399192721345393,60.0,0.7399192721345393,60.0,0.7399192721345393,0.0,0.7064733391071474
7.62x54R BT,4.0,0.05217745591347167,2.0,0.01653940080971282,30.0,0.6166294627061802,30.0,0.6166294627061802,30.0,0.6166294627061802,-6.0,0.6031629330656813
9x39mm BP,2.0,9.811271985265227e-07,2.0,0.0002207516889059511,54.0,0.43647662802844256,54.0,0.43647662802844256,54.0,0.43647662802844256,-18.0,0.3487870924799587
