item,n,pearson_r,pearson_p,spearman_r,spearman_p
12.7x55mm PS12B,192.0,0.42415437816165413,8.743791194229804e-10,0.1691539924778501,0.019002163361836796
4.6x30mm AP SX,192.0,0.4470883509724682,7.9853523310371e-11,0.2376273443259823,0.0009039624044530647
5.56x45mm M995,192.0,0.4625309737968383,1.4370082984078086e-11,0.21651475192625347,0.002558054964549897
5.7x28mm SS190,192.0,0.11538468375679359,0.11100226877031656,0.04215898797654341,0.5614995159189233
5.8x42mm DVC12,192.0,0.3201343542680723,5.992662291695625e-06,0.1981202741733528,0.0058751705859221215
6.8x51mm Hybrid,192.0,0.42392085612942526,8.951352762481488e-10,0.22484931748312093,0.001715569651685601
7.62x39mm AP,192.0,0.4643786326486432,1.1636366399414528e-11,0.24977074444988268,0.0004760780118793521
7.62x51mm M62,192.0,0.7064733391071466,2.4357091192803593e-30,0.31485724858984554,8.669113226416749e-06
7.62x54R BT,192.0,0.5947013955482706,9.480428550862534e-20,0.269745293502093,0.00015453152280042214
9x39mm BP,192.0,0.3382656146528651,1.5965188200897012e-06,0.2165119355001338,0.0025583941217416635
