experiment,freq,max_lag,n_items_total,n_items_with_usage,usage_weighted_lag_mean_h,usage_weighted_corr_mean,usage_weighted_share_peak_in_96_168h
g1_24h,1H,24h,10,9,6.764478764478765,0.39329665454512736,0.0
g2_2d,1H,2D,10,9,13.123552123552123,0.3966567481180103,0.0
g3_3d,1H,3D,10,9,20.57142857142857,0.40145475027948113,0.0
g4_5d_granger3d,1H,5D,10,9,26.872586872586872,0.40361963808372375,0.1312741312741313
g5_7d_ffill0_granger3d,1H,7D,10,9,33.173745173745175,0.40537990932169354,0.1312741312741313
g6_7d_ffill3_granger3d,1H,7D,10,9,33.173745173745175,0.4045777789910902,0.1312741312741313
g7_freq2h_7d_granger3d,2H,7D,10,9,34.38610038610039,0.3844540167412213,0.1312741312741313
g8_freq6h_14d_granger3d,6H,14D,10,9,43.57528957528958,0.46329887387341656,0.0
