experiment,freq,ffill_limit,max_lag,rolling_window,rolling_min_periods,max_granger_lag,item,coffee_to_ammo_best_lag,coffee_to_ammo_best_p,ammo_to_coffee_best_lag,ammo_to_coffee_best_p,cross_corr_best_lag_hours,cross_corr_best_corr,cross_corr_best_abs_lag_hours,cross_corr_best_abs_corr,cross_corr_best_coffee_leads_lag_hours,cross_corr_best_coffee_leads_corr,cross_corr_best_ammo_leads_lag_hours,cross_corr_best_ammo_leads_corr
g1_24h,1H,1,24h,24h,18h,24h,12.7x55mm PS12B,12.0,0.0058343819657276,16.0,0.0089458267906711,6.0,0.4027196079940078,6.0,0.4027196079940078,6.0,0.4027196079940078,-18.0,0.4005389579590376
g1_24h,1H,1,24h,24h,18h,24h,4.6x30mm AP SX,14.0,0.02595408734666,15.0,0.004711701341116,6.0,0.4022542572455181,6.0,0.4022542572455181,6.0,0.4022542572455181,-5.0,0.3665220814869581
g1_24h,1H,1,24h,24h,18h,24h,5.56x45mm M995,11.0,9.10598165298562e-07,17.0,4.1481096792815755e-08,7.0,0.4966896949931,7.0,0.4966896949931,7.0,0.4966896949931,-17.0,0.4676271551130886
g1_24h,1H,1,24h,24h,18h,24h,5.7x28mm SS190,12.0,0.0009441838021629,16.0,2.434564155222552e-07,6.0,0.2975086553405076,6.0,0.2975086553405076,6.0,0.2975086553405076,-18.0,0.2787106948096602
g1_24h,1H,1,24h,24h,18h,24h,5.8x42mm DVC12,15.0,5.537480378883293e-07,15.0,2.286577747389754e-07,7.0,0.3339571451841844,7.0,0.3339571451841844,7.0,0.3339571451841844,-17.0,0.3089681072104239
g1_24h,1H,1,24h,24h,18h,24h,6.8x51mm Hybrid,11.0,0.0038964766843997,17.0,4.605821186324391e-05,-17.0,0.3800664200975209,-17.0,0.3800664200975209,7.0,0.3352454317454208,-17.0,0.3800664200975209
g1_24h,1H,1,24h,24h,18h,24h,7.62x39mm AP,12.0,0.0001933033563846,16.0,7.027549599758438e-07,24.0,0.4763461862011819,24.0,0.4763461862011819,24.0,0.4763461862011819,-11.0,0.4584376940851936
g1_24h,1H,1,24h,24h,18h,24h,7.62x51mm M62,10.0,2.3558856276214548e-06,18.0,0.0001265562673799,7.0,0.7036677397656457,7.0,0.7036677397656457,7.0,0.7036677397656457,-17.0,0.6795274284056946
g1_24h,1H,1,24h,24h,18h,24h,7.62x54R BT,17.0,0.0741953327698953,15.0,0.0446417921143081,6.0,0.6519792058239628,6.0,0.6519792058239628,6.0,0.6519792058239628,-10.0,0.6509021376096537
g1_24h,1H,1,24h,24h,18h,24h,9x39mm BP,13.0,1.7865651461526633e-05,17.0,1.983067577936144e-07,6.0,0.3481027710465904,6.0,0.3481027710465904,6.0,0.3481027710465904,-17.0,0.3065916044240164
g2_2d,1H,1,2D,2D,36h,2D,12.7x55mm PS12B,12.0,0.0058343819657276,16.0,0.0089458267906711,6.0,0.4027196079940078,6.0,0.4027196079940078,6.0,0.4027196079940078,-18.0,0.4005389579590376
g2_2d,1H,1,2D,2D,36h,2D,4.6x30mm AP SX,14.0,0.02595408734666,15.0,0.004711701341116,30.0,0.4164942397614232,30.0,0.4164942397614232,30.0,0.4164942397614232,-5.0,0.3665220814869581
g2_2d,1H,1,2D,2D,36h,2D,5.56x45mm M995,11.0,9.10598165298562e-07,17.0,4.1481096792815755e-08,31.0,0.5126488650107698,31.0,0.5126488650107698,31.0,0.5126488650107698,-17.0,0.4676271551130886
g2_2d,1H,1,2D,2D,36h,2D,5.7x28mm SS190,12.0,0.0009441838021629,16.0,2.434564155222552e-07,6.0,0.2975086553405076,6.0,0.2975086553405076,6.0,0.2975086553405076,-18.0,0.2787106948096602
g2_2d,1H,1,2D,2D,36h,2D,5.8x42mm DVC12,15.0,5.537480378883293e-07,15.0,2.286577747389754e-07,7.0,0.3339571451841844,7.0,0.3339571451841844,7.0,0.3339571451841844,-17.0,0.3089681072104239
g2_2d,1H,1,2D,2D,36h,2D,6.8x51mm Hybrid,11.0,0.0038964766843997,17.0,4.605821186324391e-05,-41.0,0.395685454263127,-41.0,0.395685454263127,7.0,0.3352454317454208,-41.0,0.395685454263127
g2_2d,1H,1,2D,2D,36h,2D,7.62x39mm AP,12.0,0.0001933033563846,16.0,7.027549599758438e-07,30.0,0.4891189159997933,30.0,0.4891189159997933,30.0,0.4891189159997933,-11.0,0.4584376940851936
g2_2d,1H,1,2D,2D,36h,2D,7.62x51mm M62,10.0,2.3558856276214548e-06,18.0,0.0001265562673799,7.0,0.7036677397656457,7.0,0.7036677397656457,7.0,0.7036677397656457,-17.0,0.6795274284056946
g2_2d,1H,1,2D,2D,36h,2D,7.62x54R BT,17.0,0.0741953327698953,15.0,0.0446417921143081,6.0,0.6519792058239628,6.0,0.6519792058239628,6.0,0.6519792058239628,-10.0,0.6509021376096537
g2_2d,1H,1,2D,2D,36h,2D,9x39mm BP,13.0,1.7865651461526633e-05,17.0,1.983067577936144e-07,31.0,0.3519089568448376,31.0,0.3519089568448376,31.0,0.3519089568448376,-17.0,0.3065916044240164
g3_3d,1H,1,3D,3D,2D,3D,12.7x55mm PS12B,12.0,0.0058343819657276,16.0,0.0089458267906711,-66.0,0.4183727154280713,-66.0,0.4183727154280713,6.0,0.4027196079940078,-66.0,0.4183727154280713
g3_3d,1H,1,3D,3D,2D,3D,4.6x30mm AP SX,14.0,0.02595408734666,15.0,0.004711701341116,30.0,0.4164942397614232,30.0,0.4164942397614232,30.0,0.4164942397614232,-5.0,0.3665220814869581
